oferta_ganadora,marca,modelo,año,antiguedad,kilometraje,km_por_año,transmisión,combustible,cilindrada,tracción,valor_inicial,numero_pujas,visitas,ratio_oferta_inicial,mandante,numero_propietarios,meses_dueño_actual,funciona,tiene_llaves,es_chatarra,limitaciones_dominio,permiso_circulacion_vigente,revision_tecnica_vigente,tiene_multas,monto_multas_utm
4200000,KIA,SOLUTO,2021,4,55996.0,11199.2,MECANICA,GASOLINA,1.4,4X2,1000000,10,1.693,4.2,Cia. Seguros,2.0,16.0,1,0,0,0,0,1,1,13.0
4200000,KIA,SOLUTO,2021,4,55996.0,11199.2,MECANICA,GASOLINA,1.4,4X2,1000000,10,1.693,4.2,Cia. Seguros,2.0,16.0,1,0,0,0,1,1,1,2.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,1.0,13.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,1,1,0,0,0,1,0,0.0
7400000,NISSAN,VERSA,2024,1,14073.0,7036.5,MECANICA,GASOLINA,1.6,4X2,1000000,10,1.635,7.4,Cia. Seguros,2.0,16.0,1,0,0,0,1,0,1,1.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,88.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
